total_population,rural_population,urban_population,code,state,district,total,rural,urban
-,-,-,645,CHHATTISGARH,Gariaband,-,-,-
6695,6695,-,25,HIMACHAL PRADESH,LAHAUL & SPITI,11.23226288,11.23226288,-
44517,41968,2549,18,JAMMU & KASHMIR,KISHTWAR,10.25226318,10.87495234,-
41947,39486,2461,13,JAMMU & KASHMIR,SHUPIYAN,0.8486900136,0.901585372,-
19535,19535,-,34,HIMACHAL PRADESH,KINNAUR,0.5682109035,0.5682109035,-
8903,7951,7951,241,SIKKIM,NORTH SIKKIM,0.494215433,0.5533895108,-
26327,25586,741,639,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0.3874349527,0.3986555147,-
27860,26731,1129,242,SIKKIM,WEST SIKKIM,0.2333094042,0.2431633684,-
117836,100283,17553,7,JAMMU & KASHMIR,KATHUA,0.07892324926,0.09273755273,-
9959,9959,-,638,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.08032935034,0.08032935034,-
105068,97893,7175,28,HIMACHAL PRADESH,HAMIRPUR,0.04187764115,0.04494703401,-
10689,5410,5279,494,DAMAN AND DIU,DIU,0.009355412106,0.01848428835,-
97259,89657,7602,320,ASSAM,CHIRANG,17.95206613,1.659658476,12.64141016
35790,30882,4908,279,MANIPUR,UKHRUL,2.99525007,3.030891782,2.770986145
117803,109546,8257,240,BIHAR,ARWAL,3.532168111,3.655998393,1.889306043
1029114,388459,640655,341,WEST BENGAL,HOWRAH (HAORA),1.348247133,0.8374114128,1.65799065
247247,223720,23527,317,ASSAM,KARIMGANJ,0.8093121453,0.7200965493,1.657669911
964183,-,964183,342,WEST BENGAL,KOLKATA,1.604570917,-,1.604570917
382289,234411,147878,327,WEST BENGAL,DARJEELING,0.8849326033,0.5434898533,1.426175631
396221,338680,57541,331,WEST BENGAL,DAKSHIN DINAJPUR (SOUTH DINAJPUR),0.8813263305,0.7918979568,1.407691907
838938,729770,109168,332,WEST BENGAL,MALDA,0.8616846537,0.7881935404,1.352960575
403470,238261,165209,289,TRIPURA,WEST TRIPURA,1.659850794,1.897498961,1.317119527
2283567,988219,1295348,337,WEST BENGAL,NORTH 24 PARGANAS,1.33943957,1.381272775,1.307525082
1269438,777386,492052,338,WEST BENGAL,HOOGLY (HUGLI),1.033134348,0.9494639729,1.16532399
1705506,1064226,641280,335,WEST BENGAL,BARDDHAMAN (BURDWAN),0.9903805674,0.8859020546,1.163766218
